name,mz,rt,W03.01,W30.01,W30.02
M88T685,88.04734842,685.086,13318.41353,6081.203333,9380.25
M88T1341,88.07547936,1341.08,9039,10794.77462,5958.605957
M88T1322,88.07548562,1321.62,10550.63077,10617.07243,5342.158177
M88T1295,88.07551142,1294.88,3417.522143,10844.6453,5597.771566
M88T1368,88.07550061,1367.5,5205.700195,10926.50012,5794.695367
M89T458,89.03437737,457.886,12940.45248,5494.061081,13461.63045
M89T685,89.04754845,685.061,1224.881,635.39,733.096
M89T62,89.05822574,61.661,51930.38432,68973.67182,56281.76176
M89T1360,89.06904223,1360.07,13212.46106,13142.00192,14718.30759
M89T1263,89.0706974,1262.68,8635.322461,11141.97778,8341.357654
M89T1314,89.07070139,1314.22,2803.094286,11724.17333,10269.84485
M89T1289,89.07073728,1288.98,17310.12307,7984.2375,18281.05053
M90T669,90.05528968,669.328,95235.46979,33524.01684,101159.9717
M90T496,90.05452623,496.157,2865.36087,456.56,2821.8464
M90T631,90.05534656,630.629,170249.0351,52543.56467,177425.3318
M90T756,90.05484263,755.86,19218.1017,906.9074341,24027.10263
M90T459,90.05446906,458.651,1145.298,385.616482,1179.968742
M91T631,91.05552474,630.6,6179.319345,5032.325657,11101.73167
M93T732,93.04468616,731.621,1899.14,2584.785836,101197.2054
M93T579,93.04327506,579.331,836.7258,685.6349691,1474.9185
M94T389,94.03943073,388.943,1913.356667,512.2964876,1599.653768
M95T695,94.76975692,695.3155,2397.803533,2214.939905,2376.513333
M95T573,94.92938952,573.1565,65304.74955,27334.4391,71325.24095
M95T696,95.06079222,695.6355,869240.9825,675094.9946,970695.8932
M95T246,95.06050149,246.4885,159708.2847,18231.25989,78876.04833
M95T259,95.05925748,259.1535,69654.6387,27260.59557,83451.49821
M95T55,95.08479749,54.8175,6918.893455,9738.938944,4651.226995
M96T285,96.00721592,285.322,718.3358571,1024.80217,950.2338462
M96T695,96.06351107,695.4205,41484.81362,35130.15811,55187.94878
M96T247,96.06364584,246.911,4717.912467,614.51,3616.4439
M97T573,96.92730752,573.262,10770.7526,4044.4212,10549.6811
M97T533,96.99463917,533.2065,1737.298295,1352.154557,1918.661607
M97T557,97.02824077,557.4975,1980.836995,1151.423175,2511.040778
M97T728,97.02828615,727.773,2879.829227,985.6793823,3755.018688
M97T53,97.10077612,53.032,3185.783774,8634.971598,2156.500027
M98T564,98.05935442,564.279,3036.745714,15842.95462,4117.226474
M99T804,98.98438632,804.381,192120.5723,17834.72275,198192.9907
M99T663,99.05482291,663.11,7563.284211,5544.575857,9006.6988
M99T1346,99.05499697,1345.57,2127.653333,1443.374593,2288.853333
M99T1307,99.05327824,1306.71,1859.556396,1349.500244,272.6971429
M100T74,100.0210362,73.568,3312.55665,758.1378937,1266.577867
M100T410,100.0195374,409.6985,10861.38867,1522.430938,11536.81676
M100T91,100.0758818,91.44,684541.1374,1011335.146,601061.5447
M100T67,100.0759336,67.318,464142.0749,802122.8274,807166.0807
M101T520,101.0697483,519.964,1074.375714,2575.760315,2499.876
